corpus,htid,text_string,lang,occurs,author,title,pub_date,gender,genre,white,origin_area,origin_nation,place_id,formatted_address,location_type,country_long,country_short,admin_1_long,admin_1_short,admin_2,admin_3,admin_4,admin_5,locality,sublocality_1,sublocality_2,sublocality_3,neighborhood,premise,subpremise,street_number,street_address,route,post_code,natural_feature,point_of_interest,colloquial_area,continent,other,lat,lon,wordcount
Hathi,uc2.ark:/13960/t0pr7n37t,"new york",en,8,"Aldrich, Thomas Bailey","Prudence Palfrey : a novel / by Thomas Bailey Aldrich.",1885,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,64435
Hathi,mdp.39015065768015,"new york",en,1,"Eliot, George","The works of George Eliot ...",1878,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,140271
Hathi,uiuo.ark:/13960/t7zk5qg9g,"new york",en,1,"Fogerty, J","Lauterdale : a story of two generations.",1873,unknown,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,109096
Hathi,nnc1.0114027003,"new york",en,1,"Baron, Lytton, Edward Bulwer Lytton",[Works.,1878,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,217670
Hathi,uc1.$b698013,"new york",en,14,"Kipling, Rudyard","The day's work.",1898,unknown,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,133469
Hathi,nyp.33433074920608,"new york",en,1,"Austin, Alfred","Five years of it ...",1858,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,55996
Hathi,nyp.33433067292684,"new york",en,1,"Baron, Lytton, Edward Bulwer Lytton","Bulwer's novels.",1879,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,217830
Hathi,njp.32101067338739,"new york",en,1,"Jefferies, Richard","Bevis : the story of a boy / by Richard Jefferies.",1893,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,177132
Hathi,mdp.39015059392152,"new york",en,1,"Davidson, John","Baptist Lake, by John Davidson.",1896,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,68588
Hathi,uc1.b4102750,"new york",en,1,"(William Edward), Norris, W. E","Mr. Chaine's sons : a novel / by W.E. Norris.",1891,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,63435
Hathi,nyp.33433074879507,"new york",en,3,"Locke, William John",Idols.,1899,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,96677
Hathi,uiuo.ark:/13960/t4pk0ns7h,"new york",en,1,"Black, William","A princess of Thule / by William Black ...",1874,male,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,72190
Hathi,uc1.$b400519,"new york",en,2,"(Margaret), Mrs. Oliphant","Who was lost and is found; a novel.",1894,female,Fiction,"","","",ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA",locality,"United States",US,"New York",NY,"","","","","New York","","","","","","","","","","","","","","","",40.7127837,-74.0059413,127248
