id,author,date,year,gender,title
njp.32101017961010.txt,Cooper,1829,1789,m,The Red Rover
mdp.39015063544772.txt,Cooper,1849,1789,m,The redskins;
mdp.39015066063788.txt,Conrad,1923,1857,m,The rescue; | a romance of the shallows.
mdp.39015008982822.txt,Conrad,1923,1857,m,The rover / | $c: by Joseph Conrad.
njp.32101068142627.txt,Eliot,1877,1819,f,The sad fortunes of the Rev. Amos Barton
mdp.39015063544764.txt,Cooper,1881,1789,m,The sea-lions;
uc1.32106005120107.txt,Conrad,1923,1857,m,The secret agent
mdp.39015048711611.txt,Conrad,1925,1857,m,The shadow line; | a confession
mdp.39015038902717.txt,Buck,1944,1892,f,The spirit and the flesh.
hvd.32044080902265.txt,Cooper,1824,1789,m,The spy
hvd.32044080902273.txt,Cooper,1825,1789,m,The spy; a tale of the neutral ground;
uc1.l0076777192.txt,Oliphant,1870,1828,f,The three brothers
mdp.39015020692375.txt,Buck,1969,1892,f,The three daughters of Madame Liang; | a novel
mdp.39015024652193.txt,Buck,1967,1892,f,The time is noon; | a novel
uc1.$b87003.txt,Buck,1945,1892,f,The townsman | $c: [by] John Sedges.
nyp.33433074944806.txt,Cooper,1843,1789,m,The two admirals
mdp.39015063559424.txt,Oliphant,1896,1828,f,The unjust steward
nyp.33433081977997.txt,Cooper,1849,1789,m,The Water-Witch
uc1.b3321260.txt,Cooper,1830,1789,m,The water witch;
mdp.39015007027629.txt,Oliphant,1897,1828,f,The ways of life
uc1.b3321358.txt,Cooper,1856,1789,m,The ways of the hour
nyp.33433082002878.txt,Cooper,1829,1789,m,The wept of Wish Ton-Wish
nyp.33433074944780.txt,Cooper,1842,1789,m,The Wing-and-wing
njp.32101065191981.txt,Oliphant,1884,1828,f,The wizard's son
njp.32101075688653.txt,Cooper,1896,1789,m,The works of James Fenimore Cooper
mdp.39015002764150.txt,Buck,1932,1892,f,The young revolutionist / | $c: by Pearl S. Buck ...
mdp.39015008299391.txt,Buck,1938,1892,f,This proud heart ...
mdp.39015008387675.txt,Conrad,1923,1857,m,Typhoon
inu.32000009810427.txt,Conrad,1923,1857,m,Under western eyes; | a novel.
mdp.39015030734480.txt,Conrad,1925,1857,m,Victory
uc1.$b323477.txt,Buck,1953,1892,f,Voices in the house | $c: [by] John Sedges [pseud.]
nyp.33433074961925.txt,Oliphant,1875,1828,f,Whiteladies
nyp.33433074961842.txt,Oliphant,1895,1828,f,Who was lost and is found;
uc1.b3321347.txt,Cooper,1856,1789,m,Wyandotte;
mdp.39015003972794.txt,Conrad,1923,1857,m,Youth
aeu.ark+=13960=t9f48w98c.txt,Conrad,1929,1857,m,Youth | a narrative / | $c: by Joseph Conrad ; notes and study helps by Ethel M. Sealey.
inu.30000111964841.txt,Buck,1945,1892,f,Yu Lan
mdp.39015063558186.txt,Oliphant,1856,1828,f,Zaidee
