Group 1	Low 1	MEAN 1	High 1	Group 2	Low 2	MEAN 2	High 2	p-value	sig
Foreign	[51.50337294 -0.17631734]	[51.51009292 -0.15490787]	[51.5168129  -0.13349839]	Hathi	[51.51030587 -0.16132669]	[51.51068709 -0.16023047]	[51.51106831 -0.15913426]	[0.90676687 0.71524284]	
Foreign	[51.50337294 -0.17631734]	[51.51009292 -0.15490787]	[51.5168129  -0.13349839]	London	[51.51039277 -0.13390188]	[51.51338406 -0.12610433]	[51.51637535 -0.11830678]	[0.32940205 0.00241503]	##
Foreign	[51.50337294 -0.17631734]	[51.51009292 -0.15490787]	[51.5168129  -0.13349839]	Prominent	[51.50625743 -0.16156734]	[51.50873415 -0.15560235]	[51.51121086 -0.14963736]	[0.76435025 0.94999875]	
Hathi	[51.51030587 -0.16132669]	[51.51068709 -0.16023047]	[51.51106831 -0.15913426]	London	[51.51039277 -0.13390188]	[51.51338406 -0.12610433]	[51.51637535 -0.11830678]	[3.01505211e-01 5.47542669e-06]	###
Hathi	[51.51030587 -0.16132669]	[51.51068709 -0.16023047]	[51.51106831 -0.15913426]	Prominent	[51.50625743 -0.16156734]	[51.50873415 -0.15560235]	[51.51121086 -0.14963736]	[0.17789284 0.26587808]	
London	[51.51039277 -0.13390188]	[51.51338406 -0.12610433]	[51.51637535 -0.11830678]	Prominent	[51.50625743 -0.16156734]	[51.50873415 -0.15560235]	[51.51121086 -0.14963736]	[5.6128349e-02 9.2529005e-07]	###
