Group 1	Low 1	MEAN 1	High 1	Group 2	Low 2	MEAN 2	High 2	p-value	sig
Foreign	[51.50708146 -0.17470044]	[51.50979185 -0.1647899 ]	[51.51250225 -0.15487937]	Hathi	[51.51062691 -0.16187672]	[51.51089313 -0.16109857]	[51.51115935 -0.16032042]	[0.67273207 0.62818569]	
Foreign	[51.50708146 -0.17470044]	[51.50979185 -0.1647899 ]	[51.51250225 -0.15487937]	London	[51.5105935  -0.13480614]	[51.51289622 -0.12913913]	[51.51519893 -0.12347212]	[1.0262959e-01 1.8246562e-10]	###
Foreign	[51.50708146 -0.17470044]	[51.50979185 -0.1647899 ]	[51.51250225 -0.15487937]	Prominent	[51.50468713 -0.16431917]	[51.50665557 -0.15971481]	[51.50862401 -0.15511045]	[0.19679204 0.39040121]	
Hathi	[51.51062691 -0.16187672]	[51.51089313 -0.16109857]	[51.51115935 -0.16032042]	London	[51.5105935  -0.13480614]	[51.51289622 -0.12913913]	[51.51519893 -0.12347212]	[2.85997921e-01 5.73894767e-09]	###
Hathi	[51.51062691 -0.16187672]	[51.51089313 -0.16109857]	[51.51115935 -0.16032042]	Prominent	[51.50468713 -0.16431917]	[51.50665557 -0.15971481]	[51.50862401 -0.15511045]	[1.44986122e-04 6.70512037e-01]	###
London	[51.5105935  -0.13480614]	[51.51289622 -0.12913913]	[51.51519893 -0.12347212]	Prominent	[51.50468713 -0.16431917]	[51.50665557 -0.15971481]	[51.50862401 -0.15511045]	[6.90990652e-04 3.56211294e-12]	###
