Group 1	Low 1	MEAN 1	High 1	Group 2	Low 2	MEAN 2	High 2	p-value	sig
Foreign	[51.50671945 -0.17932815]	[51.5096952  -0.16796249]	[51.51267095 -0.15659683]	Hathi	[51.51069088 -0.16289934]	[51.51106094 -0.16180557]	[51.511431  -0.1607118]	[0.65875734 0.50069802]	
Foreign	[51.50671945 -0.17932815]	[51.5096952  -0.16796249]	[51.51267095 -0.15659683]	London	[51.50894475 -0.14017268]	[51.51245303 -0.13189616]	[51.51596131 -0.12361965]	[2.55114582e-01 5.30402893e-07]	###
Foreign	[51.50671945 -0.17932815]	[51.5096952  -0.16796249]	[51.51267095 -0.15659683]	Prominent	[51.50101975 -0.17181804]	[51.50415946 -0.16465336]	[51.50729917 -0.15748867]	[0.06763135 0.65174245]	
Hathi	[51.51069088 -0.16289934]	[51.51106094 -0.16180557]	[51.511431  -0.1607118]	London	[51.50894475 -0.14017268]	[51.51245303 -0.13189616]	[51.51596131 -0.12361965]	[6.02994288e-01 1.55959869e-04]	###
Hathi	[51.51069088 -0.16289934]	[51.51106094 -0.16180557]	[51.511431  -0.1607118]	Prominent	[51.50101975 -0.17181804]	[51.50415946 -0.16465336]	[51.50729917 -0.15748867]	[5.24711931e-05 5.71412717e-01]	###
London	[51.50894475 -0.14017268]	[51.51245303 -0.13189616]	[51.51596131 -0.12361965]	Prominent	[51.50101975 -0.17181804]	[51.50415946 -0.16465336]	[51.50729917 -0.15748867]	[2.77667764e-03 3.83135568e-07]	###
